web-scraper-order;categoryLink;bookLink-href;title;price;ratingClass
1760744277-8;Health;https://books.toscrape.com/catalogue/10-day-green-smoothie-cleanse-lose-up-to-15-pounds-in-10-days_581/index.html;10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!;�49.71;star-rating Five
1760744279-9;Health;https://books.toscrape.com/catalogue/eat-fat-get-thin_688/index.html;Eat Fat, Get Thin;�54.07;star-rating Two
1760744279-31;Contemporary;https://books.toscrape.com/catalogue/we-are-all-completely-beside-ourselves_301/index.html;We Are All Completely Beside Ourselves;�24.04;star-rating One
1760744281-10;Health;https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html;The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life;�49.05;star-rating Three
1760744281-32;Contemporary;https://books.toscrape.com/catalogue/someone-like-you-the-harrisons-2_735/index.html;Someone Like You (The Harrisons #2);�52.79;star-rating Five
1760744284-33;Contemporary;https://books.toscrape.com/catalogue/when-we-collided_955/index.html;When We Collided;�31.77;star-rating One
1760744285-11;Novels;https://books.toscrape.com/catalogue/suzie-snowflake-one-beautiful-flake-a-self-esteem-story_568/index.html;Suzie Snowflake: One beautiful flake (a self-esteem story);�54.81;star-rating Five
1760744288-34;Thriller;https://books.toscrape.com/catalogue/the-travelers_285/index.html;The Travelers;�15.77;star-rating One
1760744289-12;Short Stories;https://books.toscrape.com/catalogue/the-grownup_546/index.html;The Grownup;�35.88;star-rating One
1760744290-35;Thriller;https://books.toscrape.com/catalogue/far-from-true-promise-falls-trilogy-2_320/index.html;Far From True (Promise Falls Trilogy #2);�34.93;star-rating Two
1760744293-13;Suspense;https://books.toscrape.com/catalogue/silence-in-the-dark-logan-point-4_542/index.html;Silence in the Dark (Logan Point #4);�58.33;star-rating Three
1760744293-36;Thriller;https://books.toscrape.com/catalogue/the-bone-hunters-lexy-vaughan-steven-macaulay-2_343/index.html;The Bone Hunters (Lexy Vaughan & Steven Macaulay #2);�59.71;star-rating Three
1760744295-37;Thriller;https://books.toscrape.com/catalogue/killing-floor-jack-reacher-1_382/index.html;Killing Floor (Jack Reacher #1);�31.49;star-rating Four
1760744297-14;Christian;https://books.toscrape.com/catalogue/blue-like-jazz-nonreligious-thoughts-on-christian-spirituality_461/index.html;Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality;�25.77;star-rating One
1760744297-38;Thriller;https://books.toscrape.com/catalogue/give-it-back_430/index.html;Give It Back;�18.32;star-rating Two
1760744299-15;Christian;https://books.toscrape.com/catalogue/crazy-love-overwhelmed-by-a-relentless-god_682/index.html;Crazy Love: Overwhelmed by a Relentless God;�47.72;star-rating Two
1760744299-39;Thriller;https://books.toscrape.com/catalogue/the-14th-colony-cotton-malone-11_744/index.html;The 14th Colony (Cotton Malone #11);�39.24;star-rating One
1760744301-16;Christian;https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html;(Un)Qualified: How God Uses Broken People to Do Big Things;�54.00;star-rating Five
1760744301-40;Thriller;https://books.toscrape.com/catalogue/the-guilty-will-robie-4_750/index.html;The Guilty (Will Robie #4);�13.82;star-rating Two
1760744303-41;Thriller;https://books.toscrape.com/catalogue/you-you-1_784/index.html;You (You #1);�43.61;star-rating Five
1760744305-17;Historical;https://books.toscrape.com/catalogue/the-girl-you-left-behind-the-girl-you-left-behind-1_443/index.html;The Girl You Left Behind (The Girl You Left Behind #1);�15.79;star-rating One
1760744306-42;Thriller;https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html;Behind Closed Doors;�52.22;star-rating Four
1760744308-18;Historical;https://books.toscrape.com/catalogue/all-the-light-we-cannot-see_660/index.html;All the Light We Cannot See;�29.87;star-rating Five
1760744308-43;Thriller;https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html;The Elephant Tree;�23.82;star-rating Five
1760744310-44;Thriller;https://books.toscrape.com/catalogue/in-her-wake_980/index.html;In Her Wake;�12.84;star-rating One
1760744312-19;Self Help;https://books.toscrape.com/catalogue/how-to-stop-worrying-and-start-living_431/index.html;How to Stop Worrying and Start Living;�46.49;star-rating Five
1760744314-20;Self Help;https://books.toscrape.com/catalogue/you-are-a-badass-how-to-stop-doubting-your-greatness-and-start-living-an-awesome-life_508/index.html;You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life;�12.08;star-rating Three
1760744314-45;Biography;https://books.toscrape.com/catalogue/the-rise-of-theodore-roosevelt-theodore-roosevelt-1_276/index.html;The Rise of Theodore Roosevelt (Theodore Roosevelt #1);�42.57;star-rating Three
1760744316-21;Self Help;https://books.toscrape.com/catalogue/overload-how-to-unplug-unwind-and-unleash-yourself-from-the-pressure-of-stress_725/index.html;Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress;�52.15;star-rating Three
1760744316-46;Biography;https://books.toscrape.com/catalogue/benjamin-franklin-an-american-life_460/index.html;Benjamin Franklin: An American Life;�48.19;star-rating Three
1760744318-22;Self Help;https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html;How to Be Miserable: 40 Strategies You Already Use;�46.03;star-rating One
1760744319-47;Biography;https://books.toscrape.com/catalogue/the-faith-of-christopher-hitchens-the-restless-soul-of-the-worlds-most-notorious-atheist_495/index.html;The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist;�39.55;star-rating One
1760744320-23;Self Help;https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html;Online Marketing for Busy Authors: A Step-By-Step Guide;�46.35;star-rating One
1760744321-48;Biography;https://books.toscrape.com/catalogue/setting-the-world-on-fire-the-brief-astonishing-life-of-st-catherine-of-siena_603/index.html;Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena;�21.15;star-rating Two
1760744323-49;Biography;https://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html;Louisa: The Extraordinary Life of Mrs. Adams;�16.85;star-rating Two
1760744324-24;Academic;https://books.toscrape.com/catalogue/logan-kade-fallen-crest-high-55_384/index.html;Logan Kade (Fallen Crest High #5.5);�13.12;star-rating Two
1760744327-50;Business;https://books.toscrape.com/catalogue/rework_212/index.html;Rework;�44.88;star-rating Two
1760744328-25;Spirituality;https://books.toscrape.com/catalogue/a-new-earth-awakening-to-your-lifes-purpose_311/index.html;A New Earth: Awakening to Your Life's Purpose;�55.65;star-rating Five
1760744329-51;Business;https://books.toscrape.com/catalogue/the-lean-startup-how-todays-entrepreneurs-use-continuous-innovation-to-create-radically-successful-businesses_260/index.html;The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses;�33.92;star-rating Three
1760744330-26;Spirituality;https://books.toscrape.com/catalogue/unreasonable-hope-finding-faith-in-the-god-who-brings-purpose-to-your-pain_505/index.html;Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain;�46.33;star-rating Two
1760744332-27;Spirituality;https://books.toscrape.com/catalogue/if-i-gave-you-gods-phone-number-searching-for-spirituality-in-america_564/index.html;If I Gave You God's Phone Number....: Searching for Spirituality in America;�20.91;star-rating One
1760744332-52;Business;https://books.toscrape.com/catalogue/rich-dad-poor-dad_483/index.html;Rich Dad, Poor Dad;�51.74;star-rating One
1760744334-28;Spirituality;https://books.toscrape.com/catalogue/chasing-heaven-what-dying-taught-me-about-living_797/index.html;Chasing Heaven: What Dying Taught Me About Living;�37.80;star-rating Two
1760744334-53;Business;https://books.toscrape.com/catalogue/the-e-myth-revisited-why-most-small-businesses-dont-work-and-what-to-do-about-it_545/index.html;The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It;�36.91;star-rating One
1760744336-29;Spirituality;https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html;The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution;�32.24;star-rating Five
1760744336-54;Business;https://books.toscrape.com/catalogue/born-for-this-how-to-find-the-work-you-were-meant-to-do_588/index.html;Born for This: How to Find the Work You Were Meant to Do;�21.59;star-rating Five
1760744338-30;Spirituality;https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html;The Four Agreements: A Practical Guide to Personal Freedom;�17.66;star-rating Five
1760744338-55;Business;https://books.toscrape.com/catalogue/the-art-of-startup-fundraising_606/index.html;The Art of Startup Fundraising;�21.00;star-rating Three
1760744340-56;Business;https://books.toscrape.com/catalogue/quench-your-own-thirst-business-lessons-learned-over-a-beer-or-two_629/index.html;Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two;�43.14;star-rating One
1760744342-31;Contemporary;https://books.toscrape.com/catalogue/we-are-all-completely-beside-ourselves_301/index.html;We Are All Completely Beside Ourselves;�24.04;star-rating One
1760744342-57;Business;https://books.toscrape.com/catalogue/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html;Made to Stick: Why Some Ideas Survive and Others Die;�38.85;star-rating Five
1760744344-32;Contemporary;https://books.toscrape.com/catalogue/someone-like-you-the-harrisons-2_735/index.html;Someone Like You (The Harrisons #2);�52.79;star-rating Five
1760744345-58;Business;https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html;Shoe Dog: A Memoir by the Creator of NIKE;�23.99;star-rating Two
1760744346-33;Contemporary;https://books.toscrape.com/catalogue/when-we-collided_955/index.html;When We Collided;�31.77;star-rating One
1760744347-59;Business;https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html;The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job;�27.55;star-rating Three
1760744349-60;Business;https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html;The Third Wave: An Entrepreneur?s Vision of the Future;�12.61;star-rating Five
1760744350-34;Thriller;https://books.toscrape.com/catalogue/the-travelers_285/index.html;The Travelers;�15.77;star-rating One
1760744351-61;Business;https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html;The Dirty Little Secrets of Getting Your Dream Job;�33.34;star-rating Four
1760744352-35;Thriller;https://books.toscrape.com/catalogue/far-from-true-promise-falls-trilogy-2_320/index.html;Far From True (Promise Falls Trilogy #2);�34.93;star-rating Two
1760744354-36;Thriller;https://books.toscrape.com/catalogue/the-bone-hunters-lexy-vaughan-steven-macaulay-2_343/index.html;The Bone Hunters (Lexy Vaughan & Steven Macaulay #2);�59.71;star-rating Three
1760744355-62;Christian Fiction;https://books.toscrape.com/catalogue/if-i-run-if-i-run-1_174/index.html;If I Run (If I Run #1);�49.97;star-rating Four
1760744356-37;Thriller;https://books.toscrape.com/catalogue/killing-floor-jack-reacher-1_382/index.html;Killing Floor (Jack Reacher #1);�31.49;star-rating Four
1760744357-63;Christian Fiction;https://books.toscrape.com/catalogue/counted-with-the-stars-out-from-egypt-1_463/index.html;Counted With the Stars (Out from Egypt #1);�17.97;star-rating Five
1760744358-38;Thriller;https://books.toscrape.com/catalogue/give-it-back_430/index.html;Give It Back;�18.32;star-rating Two
1760744360-39;Thriller;https://books.toscrape.com/catalogue/the-14th-colony-cotton-malone-11_744/index.html;The 14th Colony (Cotton Malone #11);�39.24;star-rating One
1760744360-64;Christian Fiction;https://books.toscrape.com/catalogue/like-never-before-walker-family-2_476/index.html;Like Never Before (Walker Family #2);�28.77;star-rating Two
1760744362-40;Thriller;https://books.toscrape.com/catalogue/the-guilty-will-robie-4_750/index.html;The Guilty (Will Robie #4);�13.82;star-rating Two
1760744362-65;Christian Fiction;https://books.toscrape.com/catalogue/shadows-of-the-past-logan-point-1_541/index.html;Shadows of the Past (Logan Point #1);�39.67;star-rating Five
1760744364-41;Thriller;https://books.toscrape.com/catalogue/you-you-1_784/index.html;You (You #1);�43.61;star-rating Five
1760744364-66;Christian Fiction;https://books.toscrape.com/catalogue/close-to-you_798/index.html;Close to You;�49.46;star-rating Four
1760744366-42;Thriller;https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html;Behind Closed Doors;�52.22;star-rating Four
1760744366-67;Christian Fiction;https://books.toscrape.com/catalogue/redeeming-love_826/index.html;Redeeming Love;�20.47;star-rating Five
1760744369-43;Thriller;https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html;The Elephant Tree;�23.82;star-rating Five
1760744370-68;Food and Drink;https://books.toscrape.com/catalogue/naturally-lean-125-nourishing-gluten-free-plant-based-recipes-all-under-300-calories_479/index.html;Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories;�11.38;star-rating Five
1760744371-44;Thriller;https://books.toscrape.com/catalogue/in-her-wake_980/index.html;In Her Wake;�12.84;star-rating One
1760744373-69;Food and Drink;https://books.toscrape.com/catalogue/32-yolks_510/index.html;32 Yolks;�53.63;star-rating Two
1760744375-45;Biography;https://books.toscrape.com/catalogue/the-rise-of-theodore-roosevelt-theodore-roosevelt-1_276/index.html;The Rise of Theodore Roosevelt (Theodore Roosevelt #1);�42.57;star-rating Three
1760744375-70;Food and Drink;https://books.toscrape.com/catalogue/the-moosewood-cookbook-recipes-from-moosewood-restaurant-ithaca-new-york_574/index.html;The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York;�12.34;star-rating Four
1760744377-46;Biography;https://books.toscrape.com/catalogue/benjamin-franklin-an-american-life_460/index.html;Benjamin Franklin: An American Life;�48.19;star-rating Three
1760744377-71;Food and Drink;https://books.toscrape.com/catalogue/cravings-recipes-for-what-you-want-to-eat_589/index.html;Cravings: Recipes for What You Want to Eat;�20.50;star-rating Three
1760744379-47;Biography;https://books.toscrape.com/catalogue/the-faith-of-christopher-hitchens-the-restless-soul-of-the-worlds-most-notorious-atheist_495/index.html;The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist;�39.55;star-rating One
1760744379-72;Food and Drink;https://books.toscrape.com/catalogue/a-la-mode-120-recipes-in-60-pairings-pies-tarts-cakes-crisps-and-more-topped-with-ice-cream-gelato-frozen-custard-and-more_611/index.html;A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More;�38.77;star-rating One
1760744381-48;Biography;https://books.toscrape.com/catalogue/setting-the-world-on-fire-the-brief-astonishing-life-of-st-catherine-of-siena_603/index.html;Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena;�21.15;star-rating Two
1760744381-73;Food and Drink;https://books.toscrape.com/catalogue/everyday-italian-125-simple-and-delicious-recipes_618/index.html;Everyday Italian: 125 Simple and Delicious Recipes;�20.10;star-rating Five
1760744383-49;Biography;https://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html;Louisa: The Extraordinary Life of Mrs. Adams;�16.85;star-rating Two
1760744383-74;Food and Drink;https://books.toscrape.com/catalogue/my-kitchen-year-136-recipes-that-saved-my-life_646/index.html;My Kitchen Year: 136 Recipes That Saved My Life;�11.53;star-rating Two
1760744386-75;Food and Drink;https://books.toscrape.com/catalogue/barefoot-contessa-at-home-everyday-recipes-youll-make-over-and-over-again_666/index.html;Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again;�50.62;star-rating Five
1760744387-50;Business;https://books.toscrape.com/catalogue/rework_212/index.html;Rework;�44.88;star-rating Two
1760744388-76;Food and Drink;https://books.toscrape.com/catalogue/barefoot-contessa-back-to-basics_667/index.html;Barefoot Contessa Back to Basics;�28.01;star-rating One
1760744389-51;Business;https://books.toscrape.com/catalogue/the-lean-startup-how-todays-entrepreneurs-use-continuous-innovation-to-create-radically-successful-businesses_260/index.html;The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses;�33.92;star-rating Three
1760744390-77;Food and Drink;https://books.toscrape.com/catalogue/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes_706/index.html;It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes;�19.55;star-rating One
1760744391-52;Business;https://books.toscrape.com/catalogue/rich-dad-poor-dad_483/index.html;Rich Dad, Poor Dad;�51.74;star-rating One
1760744392-78;Food and Drink;https://books.toscrape.com/catalogue/the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-stay-healthy-and-save-the-earth_751/index.html;The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth;�28.77;star-rating Three
1760744393-53;Business;https://books.toscrape.com/catalogue/the-e-myth-revisited-why-most-small-businesses-dont-work-and-what-to-do-about-it_545/index.html;The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It;�36.91;star-rating One
1760744394-79;Food and Drink;https://books.toscrape.com/catalogue/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html;Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals;�42.16;star-rating Three
1760744395-54;Business;https://books.toscrape.com/catalogue/born-for-this-how-to-find-the-work-you-were-meant-to-do_588/index.html;Born for This: How to Find the Work You Were Meant to Do;�21.59;star-rating Five
1760744396-80;Food and Drink;https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html;The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First;�41.25;star-rating One
1760744397-55;Business;https://books.toscrape.com/catalogue/the-art-of-startup-fundraising_606/index.html;The Art of Startup Fundraising;�21.00;star-rating Three
1760744399-56;Business;https://books.toscrape.com/catalogue/quench-your-own-thirst-business-lessons-learned-over-a-beer-or-two_629/index.html;Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two;�43.14;star-rating One
1760744399-81;Food and Drink;https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html;The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking;�37.60;star-rating Two
1760744401-57;Business;https://books.toscrape.com/catalogue/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html;Made to Stick: Why Some Ideas Survive and Others Die;�38.85;star-rating Five
1760744401-82;Food and Drink;https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html;The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us;�37.34;star-rating Five
1760744403-58;Business;https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html;Shoe Dog: A Memoir by the Creator of NIKE;�23.99;star-rating Two
1760744403-83;Food and Drink;https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html;Layered: Baking, Building, and Styling Spectacular Cakes;�40.11;star-rating One
1760744405-59;Business;https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html;The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job;�27.55;star-rating Three
1760744405-84;Food and Drink;https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html;Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed;�14.02;star-rating Four
1760744407-60;Business;https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html;The Third Wave: An Entrepreneur?s Vision of the Future;�12.61;star-rating Five
1760744407-85;Food and Drink;https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html;My Paris Kitchen: Recipes and Stories;�33.37;star-rating Two
1760744409-61;Business;https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html;The Dirty Little Secrets of Getting Your Dream Job;�33.34;star-rating Four
1760744409-86;Food and Drink;https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html;The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!;�56.41;star-rating One
1760744412-87;Food and Drink;https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html;Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More;�30.52;star-rating Three
1760744413-62;Christian Fiction;https://books.toscrape.com/catalogue/if-i-run-if-i-run-1_174/index.html;If I Run (If I Run #1);�49.97;star-rating Four
1760744415-63;Christian Fiction;https://books.toscrape.com/catalogue/counted-with-the-stars-out-from-egypt-1_463/index.html;Counted With the Stars (Out from Egypt #1);�17.97;star-rating Five
1760744416-88;History;https://books.toscrape.com/catalogue/house-of-lost-worlds-dinosaurs-dynasties-and-the-story-of-life-on-earth_170/index.html;House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth;�43.70;star-rating Two
1760744417-64;Christian Fiction;https://books.toscrape.com/catalogue/like-never-before-walker-family-2_476/index.html;Like Never Before (Walker Family #2);�28.77;star-rating Two
1760744418-89;History;https://books.toscrape.com/catalogue/the-guns-of-august_254/index.html;The Guns of August;�14.54;star-rating Two
1760744419-65;Christian Fiction;https://books.toscrape.com/catalogue/shadows-of-the-past-logan-point-1_541/index.html;Shadows of the Past (Logan Point #1);�39.67;star-rating Five
1760744420-90;History;https://books.toscrape.com/catalogue/americas-war-for-the-greater-middle-east-a-military-history_361/index.html;America's War for the Greater Middle East: A Military History;�51.22;star-rating Two
1760744421-66;Christian Fiction;https://books.toscrape.com/catalogue/close-to-you_798/index.html;Close to You;�49.46;star-rating Four
1760744422-91;History;https://books.toscrape.com/catalogue/the-hiding-place_406/index.html;The Hiding Place;�55.91;star-rating Four
1760744423-67;Christian Fiction;https://books.toscrape.com/catalogue/redeeming-love_826/index.html;Redeeming Love;�20.47;star-rating Five
1760744425-92;History;https://books.toscrape.com/catalogue/the-mathews-men-seven-brothers-and-the-war-against-hitlers-u-boats_408/index.html;The Mathews Men: Seven Brothers and the War Against Hitler's U-boats;�42.91;star-rating Five
1760744427-93;History;https://books.toscrape.com/catalogue/catherine-the-great-portrait-of-a-woman_424/index.html;Catherine the Great: Portrait of a Woman;�58.55;star-rating Four
1760744428-68;Food and Drink;https://books.toscrape.com/catalogue/naturally-lean-125-nourishing-gluten-free-plant-based-recipes-all-under-300-calories_479/index.html;Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories;�11.38;star-rating Five
1760744429-94;History;https://books.toscrape.com/catalogue/the-rise-and-fall-of-the-third-reich-a-history-of-nazi-germany_454/index.html;The Rise and Fall of the Third Reich: A History of Nazi Germany;�39.67;star-rating Two
1760744430-69;Food and Drink;https://books.toscrape.com/catalogue/32-yolks_510/index.html;32 Yolks;�53.63;star-rating Two
1760744431-95;History;https://books.toscrape.com/catalogue/a-short-history-of-nearly-everything_457/index.html;A Short History of Nearly Everything;�52.40;star-rating Five
1760744432-70;Food and Drink;https://books.toscrape.com/catalogue/the-moosewood-cookbook-recipes-from-moosewood-restaurant-ithaca-new-york_574/index.html;The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York;�12.34;star-rating Four
1760744434-71;Food and Drink;https://books.toscrape.com/catalogue/cravings-recipes-for-what-you-want-to-eat_589/index.html;Cravings: Recipes for What You Want to Eat;�20.50;star-rating Three
1760744435-97;History;https://books.toscrape.com/catalogue/brilliant-beacons-a-history-of-the-american-lighthouse_515/index.html;Brilliant Beacons: A History of the American Lighthouse;�11.45;star-rating Three
1760744436-72;Food and Drink;https://books.toscrape.com/catalogue/a-la-mode-120-recipes-in-60-pairings-pies-tarts-cakes-crisps-and-more-topped-with-ice-cream-gelato-frozen-custard-and-more_611/index.html;A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More;�38.77;star-rating One
1760744438-73;Food and Drink;https://books.toscrape.com/catalogue/everyday-italian-125-simple-and-delicious-recipes_618/index.html;Everyday Italian: 125 Simple and Delicious Recipes;�20.10;star-rating Five
